file	sdr
liu_yong_deep_dimples	https://purl.stanford.edu/wz802dz0816
liu_yong_drooping_hair_bun	https://purl.stanford.edu/wg659jr4570
liu_yong_frozen_clouds	https://purl.stanford.edu/xh676fx7352
liu_yong_golden_title_board	
liu_yong_phoenix_pillows	https://purl.stanford.edu/vb889jb3617
liu_yong_remember_day_first_met	https://purl.stanford.edu/vx274mv8173
liu_yong_since_spring_came	https://purl.stanford.edu/cz100wj4016
liu_yong_sobered_up	https://purl.stanford.edu/fc190fp0876
liu_yong_thin_boat	https://purl.stanford.edu/ch181hv6484
liu_yong_wake_dream_thread_wind	https://purl.stanford.edu/ty418fy7783
lopes_chronicle_peter_i	https://purl.stanford.edu/xs041vv8049
marston_childbirth_prayer	https://purl.stanford.edu/vs096hk1625
memorial_bones_buddha	https://purl.stanford.edu/ny166vp6716
millstatt_plaint_sin	https://purl.stanford.edu/yr277qx9699
miracle_mother_god_sign	https://purl.stanford.edu/vs550fv0788
miracles_vladimir_mother_god	https://purl.stanford.edu/vm178nf7700
muspilli	https://purl.stanford.edu/cy204cd5992
neidhart_play_sankt_paul	https://purl.stanford.edu/ss597dj8151
oeglin_between_hill_valley_deep	https://purl.stanford.edu/jw133pk7685
oeglin_dearest_sight_heart	https://purl.stanford.edu/np725sj8041
oeglin_farewell_it_hurts	https://purl.stanford.edu/rb644qc2787
oeglin_fortune_grants_comfort_hope	https://purl.stanford.edu/hq258fm6268
oeglin_grace_honor_praise	https://purl.stanford.edu/st282wx0077
oeglin_help_our_lady_aachen	https://purl.stanford.edu/pn881hj0057
oeglin_my_heart_pact_love	https://purl.stanford.edu/fb851cq8408
oeglin_now_depths_heart	https://purl.stanford.edu/pz806fz6828
oeglin_our_vicar_away	https://purl.stanford.edu/vh985kp6671
oeglin_whoever_repays_loyalty_falsehood	https://purl.stanford.edu/nn657ch3003
oh_how_troubles_me	https://purl.stanford.edu/cr338fw5858
origin_pastoral_care	https://purl.stanford.edu/pd724hc5620
ouyang_xiu_beyond_willows	https://purl.stanford.edu/qc290hb3930
ouyang_xiu_i_hold_wine	https://purl.stanford.edu/mr400hk1673
ouyang_xiu_i_suddenly_heard	https://purl.stanford.edu/vc448kt9067
ouyang_xiu_phoenix-like_bun	https://purl.stanford.edu/nn859sc8137
ouyang_xiu_since_we_parted	https://purl.stanford.edu/yp092nr5057
ouyang_xiu_tall_building	https://purl.stanford.edu/vm512sj0688
passion_holy_virgins	https://purl.stanford.edu/vy261ys5972
pictor_concerning_wicked_woman	https://purl.stanford.edu/cn585mj1209
prologue_book_histories	https://purl.stanford.edu/sj521tx9527
prologue_psalms_czech	https://purl.stanford.edu/jv868qy9991
queen_france	https://purl.stanford.edu/xj532hp6852
rabanus_maurus_honour_holy_cross	https://purl.stanford.edu/vq580mg0167
regarding_sister_agnes_waller	https://purl.stanford.edu/qp135qw5144
reno_incident_university_paris	https://purl.stanford.edu/gy556cm1937
riddle_temple_saturn	https://purl.stanford.edu/kc903dr8183
rigaut_just_elephant	https://purl.stanford.edu/dt615xy7335
roman_origins_lithuanians	https://purl.stanford.edu/kr404wh9616
roman_prologue_republics_world	https://purl.stanford.edu/bt457dp4069
sanai_on_merciful_god	https://purl.stanford.edu/cy571vv8193
sant_jordi_underneath_my_forehead	https://purl.stanford.edu/xd455fv0178
sengxiang_monk_huisi	https://purl.stanford.edu/sb803sj2423
sermon_on_st_nobody	https://purl.stanford.edu/yr616pt1182
shoemakers_new_faith	https://purl.stanford.edu/pc544mw1593
song_heinrich	https://purl.stanford.edu/bx905jp3191
song_peter	https://purl.stanford.edu/vy286tx3965
su_shi_how_long_full_moon	https://purl.stanford.edu/jk737cs8633
su_shi_hunting_mizhou	https://purl.stanford.edu/vf894dc1453
su_shi_matching_rhymes_willow_catkins	https://purl.stanford.edu/dh674wg3267
su_shi_moon_shines_brightly_frost	https://purl.stanford.edu/ny539by5140
su_shi_moon_shines_wild_fields	https://purl.stanford.edu/qk586jg4050
su_shi_pingshan_hall	https://purl.stanford.edu/rd143dn5675
su_shi_plum_blossom	https://purl.stanford.edu/zs419qg6099
su_shi_returning_night_linggao	https://purl.stanford.edu/fv661pm0223
su_shi_sending_shugu_west_lake	https://purl.stanford.edu/td172pb8550
su_shi_skin_ice_bones_jade	https://purl.stanford.edu/wy782md1086
su_shi_ten_years_dead_living	https://purl.stanford.edu/qr054sz8431
su_shi_waning_moon_hangs	https://purl.stanford.edu/rc694gb1371
sultan_daughter	https://purl.stanford.edu/ky797wd4864
testament_magnus	https://purl.stanford.edu/jr951mt9616
tinodi_captivity_peter_pereny	https://purl.stanford.edu/sy398fg1914
tinodi_loss_buda	https://purl.stanford.edu/vr310wp7423
tractate_sotah	https://purl.stanford.edu/qs468ym2517
trojan_war	https://purl.stanford.edu/hq527yc3939
trust_I_have_you	https://purl.stanford.edu/tx336wj4685
tuan_mac_cairill	https://purl.stanford.edu/yf264nb8214
twinger_chronicle	https://purl.stanford.edu/mw070hg9070
two_confessions	https://purl.stanford.edu/nj250rs9078
two_three_days_ago	https://purl.stanford.edu/kf454sn1926
virgin_mary_lament_bordesholm	https://purl.stanford.edu/fb720tj2636
vorau_plaint_sin	https://purl.stanford.edu/yc554mt6147
wessobrun_prayer	https://purl.stanford.edu/fx384vn8343
wino	https://purl.stanford.edu/zy133cp9705
yan_jidao_back_then_believed_love	https://purl.stanford.edu/mk306vg8401
yan_jidao_back_then_met_western_building	https://purl.stanford.edu/pj401jn0383
yan_jidao_colorful_sleeves	https://purl.stanford.edu/pp376zc0708
yan_jidao_could_not_make	https://purl.stanford.edu/fk885dj6733
yan_jidao_dew_metal_palm	https://purl.stanford.edu/cr552hm2906
yan_jidao_green_shades	https://purl.stanford.edu/wk343xs3767
yan_jidao_holding_fragrant_paper	https://purl.stanford.edu/hf039vr2728
yan_jidao_scene_painted_screen	https://purl.stanford.edu/gj714ky3715
yan_jidao_since_we_parted	https://purl.stanford.edu/xy386fb2651
yan_jidao_when_met_her	https://purl.stanford.edu/kh875rn7042
yan_jidao_when_wake_up	https://purl.stanford.edu/wz124km9116
yan_jidao_xiaolian_yet_learn	https://purl.stanford.edu/wy306mq1325
yan_shu_chrysanthemums	https://purl.stanford.edu/gc817sq3338
yan_shu_gold_wind	https://purl.stanford.edu/hb663ys4009
yan_shu_moments_time.xml	https://purl.stanford.edu/kb441dt6702
yan_shu_narrow_path	https://purl.stanford.edu/qc237vk7231
yan_shu_new_song	https://purl.stanford.edu/sx258bp0853
yan_shu_singer	https://purl.stanford.edu/yw538tr2725
yan_shu_water_pond	https://purl.stanford.edu/rv977ps7317
